id,item,preco,categoria_id,opcoes
1,fritas,33,3,Tamanho(300g-500g+15-1kg+55)Adicionais(cheddar+bacon+18-cebola empanada+15)
2,calabresa acebolada,43,3,Tamanho(300g-500g+20-1kg+75)Adicionais(cheddar+bacon+18-cebola empanada+15)
3,frango,48,3,Tamanho(300g-500g+25-1kg+90)Adicionais(cheddar+bacon+18-cebola empanada+15)
4,isca de peixe,53,3,Tamanho(300g-500g+30-1kg+105)Adicionais(cheddar+bacon+18-cebola empanada+15)
5,porquinho,53,3,Tamanho(300g-500g+30-1kg+105)Adicionais(cheddar+bacon+18-cebola empanada+15)
6,lula,55,3,Tamanho(300g-500g+38-1kg+120)Adicionais(cheddar+bacon+18-cebola empanada+15)
7,isca de contra acebolado,58,3,Tamanho(300g-500g+37-1kg+120)Adicionais(cheddar+bacon+18-cebola empanada+15)
8,camarao,98,3,Tamanho(300g-500g+35-1kg+125)Adicionais(cheddar+bacon+18-cebola empanada+15)
9,fritas 300g/calabresa 300g/contra 300g,123,3,Adicionais(cheddar+bacon+18-cebola empanada+15)
10,fritas 300g/peixe 300g/frango 300g,123,3,Adicionais(cheddar+bacon+18-cebola empanada+15)
11,fritas 300g/frango 300g/lula 300g,123,3,Adicionais(cheddar+bacon+18-cebola empanada+15)
12,fritas 300g/peixe 300g/lula 300g,128,3,Adicionais(cheddar+bacon+18-cebola empanada+15)
13,fritas 300g/camarao 300g/frango 300g,133,3,Adicionais(cheddar+bacon+18-cebola empanada+15)
14,fritas 300g/camarao 300g/lula 300g,138,3,Adicionais(cheddar+bacon+18-cebola empanada+15)
15,fritas 300g/camarao 300g/peixe 300g,138,3,Adicionais(cheddar+bacon+18-cebola empanada+15)
16,camarao 300g/frango 300g/peixe 300g,148,3,Adicionais(cheddar+bacon+18-cebola empanada+15)
17,camarao 300g/frango 300g/lula 300g,153,3,Adicionais(cheddar+bacon+18-cebola empanada+15)
18,camarao 300g/lula 300g/peixe 300g,158,3,Adicionais(cheddar+bacon+18-cebola empanada+15)
19,fritas 500g/calabresa 500g,98,3,Adicionais(cheddar+bacon+18-cebola empanada+15)
20,fritas 500g/frango 500g,108,3,Adicionais(cheddar+bacon+18-cebola empanada+15)
21,fritas 500g/peixe 500g,118,3,Adicionais(cheddar+bacon+18-cebola empanada+15)
22,calabresa 500g/frango 500g,123,3,Adicionais(cheddar+bacon+18-cebola empanada+15)
23,fritas 500g/lula 500g,128,3,Adicionais(cheddar+bacon+18-cebola empanada+15)
